"cql",my,blacklab,speed
"[word='一边'][]{1,5}[word='一边']",15,14.2,False
"[word='不是'][]{1,5}[word='而是']",15,15.75,True
"[word='不但'][]{1,5}[word='而且']",15,17.444444444444443,True
"[word='和平'][word='共处']",15,15.625,True
"[word='和平共处']",15,16,True
"[word='文档']",15,15.666666666666666,True
"[word='拆分']",15,15.6,True
"[word='拭目以待']",15,15.666666666666666,True
"[word='层面']",20.818181818181817,16.625,False
"[word='喜欢'|xpos='VV'][word='运动']",41.90909090909091,192.8181818181818,True
"[word='编辑'&xpos='VV']",15,46.90909090909091,True
"[word='烟雾']",9,16.2,True
"[word='美食']",9.2,15.666666666666666,True
"[word='一体']",12.454545454545455,15.571428571428571,True
"[word='美景']",10,15.6,True
"[word='美不胜收']",7,15.6,True
"[word='历时']",14.25,15.571428571428571,True
"[word='白相节']",15,15.5,True
"[word='展开'][word='对决']",15,15.5,True
"[word='热闹'][word='非凡']",15,15.625,True
"[word='棉花糖']",15,15.5,True
"[word='糖葫芦']",15,15.75,True
"[word='热气'][word='腾腾']",15,15.714285714285714,True
"[word='取悦']",15,15.6,True
"[word='固然'][word='可以']",26.636363636363637,17.857142857142858,False
"[word='制造业']",19.818181818181817,15.571428571428571,False
"[word='安居乐业'&xpos='VV']",10,45.54545454545455,True
"[word='导向']",17.636363636363637,16.125,False
"[word='广西']",16.90909090909091,16.142857142857142,False
"[word='加上']",11,19.5,True
"[word='关心']",15.363636363636363,15.125,False
"[word='而且'&xpos='AD']",38.36363636363637,30.90909090909091,False
"[word='人物']",17,16.714285714285715,False
"[word='巩固']",15.090909090909092,15.714285714285714,True
"[word='准确']",15,16.428571428571427,True
"[word='特大'&xpos='JJ']",8.5,17,True
"[word='违规']",15,18.5,True
"[word='榜样']",12,16.5,True
"[word='工商界']",15,15.5,True
"[word='予以'&xpos='VV']",15,49.72727272727273,True
"[word='跋涉']",15,13.166666666666666,False
"[word='拉扎克']",10.333333333333334,15.333333333333334,True
"[word='曾经']",18,15.714285714285714,False
"[word='相对']",18.454545454545453,15.571428571428571,False
"[word='稳妥']",15.333333333333334,15.166666666666666,False
"[word='综艺馆']",15,15.75,True
"[word='大熊猫'&xpos='NN']",14,71.27272727272727,True
"[word='思想史']",15,15.666666666666666,True
"[word='交易会']",15,15.5,True
"[word='根治']",15,15.666666666666666,True
"[word='龙舟节']",7,15.666666666666666,True
"[word='大势'&xpos='NN']",11,84.27272727272727,True
"[word='战役']",20.818181818181817,15.666666666666666,False
"[word='单位'&xpos='NN']",80.27272727272727,90.9090909090909,True
"[word='使馆']",11.25,15.666666666666666,True
"[word='报时']",15,15.75,True
"[word='美好']",19.363636363636363,16.125,False
"[word='美术']",15,16.833333333333332,True
"[word='美育']",15,15.6,True
"[word='论述']",15,15.714285714285714,True
"[word='读到']",15,15.6,True
"[word='尽可能']",15.6,15,False
"[word='整改']",16.727272727272727,17.857142857142858,True
"[word='感到']",15,15.571428571428571,True
"[word='假冒']",15,15.5,True
"[word='材料']",19.363636363636363,16.625,False
"[word='开创'&xpos='VV']",15,46.81818181818182,True
"[word='权力'&xpos='NN']",33.72727272727273,86,True
"[word='网点']",15,15.8,True
"[word='亿元']",15,15.6,True
"[word='大小']",15,15.666666666666666,True
"[word='回国']",15,15.5,True
"[word='学堂']",3.3333333333333335,15.666666666666666,True
"[word='区域'&xpos='NN']",57.09090909090909,88.9090909090909,True
"[word='共享']",16,17,True
"[word='非亲非故']",7.5,15.666666666666666,True
"[word='装箱']",15,15.6,True
"[word='实验']",15,16,True
"[word='题材']",15,16,True
"[word='病人']",15,15.714285714285714,True
"[word='气候'&pos='NN']",21.454545454545453,15.5,False
"[word='抗议']",9.25,15.666666666666666,True
"[word='出生']",15,14.5,False
"[word='发往']",4.333333333333333,15.6,True
"[word='公交'&pos='NN']",13,15.5,True
"[word='用户']",21.363636363636363,17.75,False
"[word='院团'&pos='NN']",8.666666666666666,9.5,True
"[word='一切']",23.727272727272727,17.857142857142858,False
"[word='独特']",15,17.857142857142858,True
"[word='家门']",15,15.666666666666666,True
"[word='精神科']",15,15.6,True
"[word='领土']",15,14.714285714285714,False
"[word='大意不得']",15,15.666666666666666,True
"[word='圣保罗州']",15,15.6,True
"[word='遗产'&pos='NN']",15.090909090909092,15.5,True
"[word='茨威格']",15,15.6,True
"[word='外交部']",15.142857142857142,17.857142857142858,True
"[word='难产']",15,15.6,True
"[word='纳入'&pos='VV']",22.272727272727273,15.5,False
"[word='充满']",20.363636363636363,17.857142857142858,False
"[word='世界杯']",9.4,19.142857142857142,True
"[word='放权']",15.222222222222221,17.857142857142858,True
"[word='打井'&pos='VV']",15,16,True
"[word='埃镑']",15,15.6,True
"[word='暗沙']",15,15.666666666666666,True
"[word='上海市']",15,15.571428571428571,True
"[word='神州']",9.5,15.6,True
"[word='转移']",22.272727272727273,17.625,False
"[word='经费'&pos='NN']",16.727272727272727,16,False
"[word='虚拟']",14.75,15.5,True
"[word='陀螺']",15.5,15.6,True
"[word='国家队'&pos='NN']",15,16,True
"[word='质疑']",15,15.25,True
"[word='促进会']",15,15.8,True
"[word='扎根']",15,15.666666666666666,True
"[word='冻雨']",15,15.5,True
"[word='超配']",15,16,True
"[word='品格']",15,15.5,True
"[word='排查'&pos='NN']",15,15.5,True
"[word='揭牌']",15,15.666666666666666,True
"[word='学科']",15,17.428571428571427,True
"[word='至上']",15,15.666666666666666,True
"[word='房地产']",9.4,15.571428571428571,True
"[word='技能']",13.8,15,True
"[word='宪法']",19.454545454545453,15.625,False
"[word='理清'&pos='VV']",15,16,True
"[word='航行']",15,15.5,True
"[word='高考']",15,19.285714285714285,True
"[word='读完']",15,12.333333333333334,False
"[word='懈怠']",15,15.6,True
"[word='西班牙']",15,15.571428571428571,True
"[word='税务']",12.5,17.857142857142858,True
"[word='波罗']",8.333333333333334,15.833333333333334,True
"[word='对抗'&pos='NN']",10.857142857142858,15.5,True
"[word='座谈会']",15.545454545454545,15.857142857142858,True
"[word='拐杖']",10.333333333333334,7.818181818181818,False
"[word='少数']",18.545454545454547,18,False
"[word='异地']",10.2,15.666666666666666,True
"[word='当选']",9.625,16.833333333333332,True
"[word='分子']",16.545454545454547,17.857142857142858,True
"[word='迅速']",19.363636363636363,15.5,False
"[word='自负']",7.5,15.6,True
"[word='导引']",15,15.6,True
"[word='多亏'&pos='VV']",15,16,True
"[word='政权']",15.2,15.6,True
"[word='无数']",15,18.166666666666668,True
"[word='记录']",16.90909090909091,15.571428571428571,False
"[word='员工']",15.272727272727273,15.571428571428571,True
"[word='礼赞']",15,15.6,True
"[word='亲戚']",15,15.666666666666666,True
"[word='品种']",13.5,15.571428571428571,True
"[word='盖棺']",6.666666666666667,15.666666666666666,True
"[word='搜索']",15,15.5,True
"[word='不利于']",15,14.833333333333334,False
"[word='标准煤']",13.727272727272727,15.6,True
"[word='无暇']",15,15.666666666666666,True
"[word='嘿客']",15,15.6,True
"[word='人民币'&pos='NN']",22.272727272727273,15.5,False
